prospect_id,name,specialty,region,rep_id,contact_stage,fit_band,lead_source,source_updated_at,explicit_interest,lat,lon
P001,康悅診所,家醫科,台北,R100,uncontacted,high,區域普查名單,2026-08-20,False,25.04538,121.57832
P002,青禾診所,內科,台北,R100,contacted,high,既有客戶轉介,2026-08-13,True,25.09725,121.55321
P003,遠山診所,骨科,台北,R100,uncontacted,low,公開名冊,2026-05-27,False,25.01763,121.54099
P005,岳華診所,皮膚科,台北,R100,uncontacted,medium,公開名冊,2026-07-16,False,25.05148,121.59927
P004,晴天診所,家醫科,台北,R100,appointment,high,展會名單,2026-08-05,True,25.02958,121.5402
R101_P001,新北潛力診所1,耳鼻喉科,新北,R101,contacted,high,區域普查名單,2026-07-20,False,25.05702,121.45816
R101_P002,新北潛力診所2,小兒科,新北,R101,contacted,low,區域普查名單,2026-07-31,False,24.98437,121.46551
R101_P003,新北潛力診所3,皮膚科,新北,R101,uncontacted,low,區域普查名單,2026-07-06,True,24.9913,121.45418
R101_P004,新北潛力診所4,家醫科,新北,R101,uncontacted,medium,區域普查名單,2026-08-11,False,24.99503,121.44318
R102_P001,桃園潛力診所1,家醫科,桃園,R102,uncontacted,medium,區域普查名單,2026-07-24,False,25.03343,121.29893
R102_P002,桃園潛力診所2,婦產科,桃園,R102,contacted,high,區域普查名單,2026-07-12,True,24.96848,121.28317
R102_P003,桃園潛力診所3,婦產科,桃園,R102,contacted,high,區域普查名單,2026-08-20,True,25.01771,121.35262
R102_P004,桃園潛力診所4,小兒科,桃園,R102,uncontacted,high,區域普查名單,2026-08-14,True,24.98967,121.24607
